Timestamp,"Do you work, live or access services in Klickitat or Skamania County?",Please enter the ZIP CODE for the community you live in:,What are you involved in locally that helps you live a happy life or get support when you need it?,Which of these best describes your housing today?  (mark all that apply),Is HOUSING a challenge in your community?,"If you said 'yes', please mark all the reasons HOUSING is a problem for you or for people you know:",Did you or anyone else in your household lose a job as a result of COVID-19?,Do you have access to the internet at home?,How many people are in your household (sharing income and expenses)?,"During the past year, what was the total gross income for your household?  ",Is EMPLOYMENT a challenge in your community?,"If you said 'yes', please mark all the reasons EMPLOYMENT is a problem for you or for people you know:","During the 12 months BEFORE covid-19 lockdowns in March, did you or the people you live with worry that you would run out of food before you were able to get more?  ","During the months AFTER covid-19 lockdowns, did you or the people you live with worry that you would run out of food before you were able to get more?  ",Is FOOD a challenge in your community?,"If you said 'yes', please mark all the reasons FOOD is a problem for you or for people you know:",Is TRANSPORTATION a challenge in your community?,If you said 'yes' please mark all the reasons TRANSPORTATION is a problem for you or for people you know:,Is HEALTH CARE a challenge in your community?,"If you said 'yes', please mark all the reasons HEALTH CARE is a problem for you or for people you know:",Please mark the gender you most identify with: ,What age group are you in?,Please select the races or ethnicities you most identify with:,Please mark all WAGAP services you currently use:,"Please share how you feel about this statement: ""WAGAP has helped me learn how or where to get services or other things I need in life""","Please share how you feel about this statement: ""Working with WAGAP has made me feel more hopeful about my community or my life.""","If there are other big problems in your community, or you have an idea about how WAGAP could help - or if there is anything else you would like us to know, please explain here:",survey completed in Spanish
10/06/2020 10:46,Yes,98620,Extended family,"I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Cost of utilities, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Yes,2,"Less than $15,000","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,No,n/a,"Yes, somewhat","Cost of gasoline, Limited public transportation",No,n/a,Male,18-64 years old,White,Food Bank,Strongly Disagree,Strongly Disagree,"Wgap EAP is total failure, FB hrs  are inconsistent.",
10/06/2020 12:01,Yes,98620,"Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,no,Yes,2,"Less than $15,000","Yes, somewhat",Good paying jobs with benefits are hard to find,Sometimes,"Yes, many times",No,n/a,"Yes, somewhat",Limited public transportation,No,n/a,Female,18-64 years old,White,Food Bank,Strongly Agree,Agree,,
10/06/2020 12:12,Yes,98620,None,I have housing and I am NOT worried about losing it,No,n/a,yes,No,2,"Less than $15,000",No,n/a,"Yes, many times",Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food",No,n/a,"Yes, a BIG problem!","Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,White,Food Bank,Agree,Agree,,
10/06/2020 14:42,Yes,98620,"Community or civic volunteer group, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,No,2,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Cost of care is not affordable, Lack of transportation",Male,18-64 years old,White,Food Bank,Agree,Agree,,
10/06/2020 16:09,Yes,98672,Community or civic volunteer group,I have housing and I am NOT worried about losing it,No,n/a,no,No,2,"Less than $15,000",No,n/a,Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,No,n/a,No,n/a,Male,18-64 years old,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/07/2020 09:13,Yes,,,I have housing and I am NOT worried about losing it,No,n/a,no,No,2,"Less than $15,000",No,n/a,Sometimes,No,,,No,n/a,No,n/a,Male,65 years or older,White,Food Bank,,,,
10/07/2020 09:57,Yes,98628,Community or civic volunteer group,I have housing and I am NOT worried about losing it,"Yes, somewhat",Not enough housing available to rent or buy,no,Yes,2,"$30,000 to $44,999","Yes, somewhat",Good paying jobs with benefits are hard to find,No,No,"Yes, somewhat",Lack of transportation to grocery stores or markets,"Yes, a BIG problem!",Unable to get a driverís license,"Yes, a BIG problem!",Unsure where to go or what services are available,Male,65 years or older,White,Food Bank,,,,
10/07/2020 10:39,Yes,98610,"Hobby groups (books clubs, art club, etc.), Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy",no,Yes,2,"$30,000 to $44,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,No,n/a,No,n/a,No,n/a,Male,18-64 years old,White,Food Bank,Neutral,Neutral,,
10/08/2020 09:55,Yes,98635,None,"I have housing, but I AM WORRIED about losing it",No,n/a,no,Yes,2,"Less than $15,000","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,No,n/a,"Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable",Female,65 years or older,White,Food Bank,Strongly Agree,Strongly Agree,,
10/08/2020 10:05,Yes,98617,"Close friends, family","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!",Cost of rent or house payment,no,Yes,2,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline","Yes, somewhat",Lack of adequate insurance,Female,65 years or older,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/08/2020 10:11,Yes,98672,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat",Cost of utilities,no,Yes,2,"$15,000 to $29,999",,"Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,No,n/a,No,n/a,No,n/a,Female,65 years or older,White,Food Bank,Agree,Agree,,
10/08/2020 10:22,Yes,98650,"Faith group or church, Community or civic volunteer group",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",yes,Yes,2,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Lack of transportation",Male,18-64 years old,White,Food Bank,Neutral,Neutral,,
10/08/2020 10:25,Yes,98613,"Sports team or club, Hobby groups (books clubs, art club, etc.), Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,yes,No,2,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)","Yes, many times","Yes, many times","Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable",Female,18-64 years old,White,Food Bank,Strongly Agree,Strongly Agree,,
10/08/2020 10:31,Yes,98617,"Faith group or church, Extended family",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of utilities, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,No,2,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Good paying jobs with benefits are hard to find",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of gasoline, Limited public transportation","Yes, somewhat","Cost of care is not affordable, Lack of transportation",Female,65 years or older,White,Food Bank,Agree,Agree,,
10/08/2020 10:35,Yes,98635,Extended family,I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities",no,Yes,2,"$30,000 to $44,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, a BIG problem!","Cost of gasoline, Limited public transportation","Yes, somewhat",Not enough mental health treatment options,Female,18-64 years old,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/08/2020 10:45,Yes,98672,Close friends,I have housing and I am NOT worried about losing it,No,n/a,no,No,2,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat",Not enough income to purchase food,No,n/a,No,n/a,Male,65 years or older,White,Food Bank,n/a - I have not been involved with WAGAP,Agree,,
10/08/2020 10:48,Yes,98617,"Faith group or church, Community or civic volunteer group, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat",Cost of utilities,no,Yes,2,"$45,000 to $64,999","Yes, somewhat",Good paying jobs with benefits are hard to find,No,No,No,n/a,"Yes, somewhat",n/a,No,n/a,Female,65 years or older,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/08/2020 10:55,Yes,98610,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,2,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat",Lack of transportation to grocery stores or markets,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license",No,n/a,Female,65 years or older,White,Food Bank,Neutral,Agree,,
10/08/2020 13:19,Yes,98648,"Faith group or church, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,2,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat","Cost of gasoline, Limited public transportation",No,n/a,Female,18-64 years old,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,Thank you Food Bank you make life better,
10/08/2020 14:19,Yes,98648,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat",Cost of rent or house payment,no,Yes,2,"Less than $15,000","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times","Yes, many times","Yes, a BIG problem!",Not enough income to purchase food,No,n/a,No,n/a,Female,18-64 years old,White,Food Bank,Agree,Neutral,,
10/13/2020 15:20:32,Yes,98635,"Faith group or church, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,2,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation","Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Language barrier (medical info hard to understand), Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Female,65 years or older,White,Food Bank,Neutral,Neutral,,
10/13/2020 16:01:35,Yes,98672,Extended family,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,2,"$15,000 to $29,999",No,n/a,No,No,No,n/a,No,Limited public transportation,No,n/a,Male,65 years or older,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/20/2020 13:35:04,Yes,98672,Community or civic volunteer group,"I have housing, but I AM WORRIED about losing it, Other living arrangement (hotel, staying with friends, etc.)","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Sometimes,2,"Less than $15,000","Yes, somewhat","People lack skills or education needed, Lack of legal documents (green card, etc)",No,No,No,n/a,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation",No,n/a,Female,18-64 years old,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/20/2020 14:14:21,Yes,98635,None,I have housing and I am NOT worried about losing it,No,n/a,no,No,2,"Less than $15,000","Yes, somewhat",Good paying jobs with benefits are hard to find,No,No,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Cost of buying and maintaining a car,No,n/a,Male,18-64 years old,White,Food Bank,Neutral,Neutral,,
10/28/2020 10:47:02,Yes,98610,"Faith group or church, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Cost of utilities",yes,Sometimes,2,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Female,18-64 years old,White,Food Bank,Agree,Agree,,
12/02/2020 14:17,Yes,98610,"Hobby groups (books clubs, art club, etc.), Extended family",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,2,"Less than $15,000","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,No,No,No,n/a,No,n/a,"Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Lack of transportation",Male,18-64 years old,White,Food Bank,Strongly Agree,Strongly Agree,,
12/02/2020 15:01,Yes,98673,Close friends,I have housing and I am NOT worried about losing it,No,n/a,no,Yes,2,"Less than $15,000",No,n/a,Sometimes,"Yes, many times",No,n/a,No,n/a,No,n/a,Female,18-64 years old,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
12/02/2020 15:08,Yes,98610,"Hobby groups (books clubs, art club, etc.), Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Sometimes,2,"$15,000 to $29,999","Yes, somewhat",Wages are too low to cover monthly expenses,No,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Cost of care is not affordable, Not enough mental health treatment options",Female,18-64 years old,White,Food Bank,Neutral,Neutral,,
12/02/2020 15:26,Yes,98617,"Faith group or church, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,2,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,Sometimes,"Yes, somewhat","Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Language barrier (medical info hard to understand), Lack of transportation",Male,18-64 years old,White,Food Bank,Neutral,Neutral,,
12/02/2020 15:28,Yes,98672,"Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,no,Sometimes,2,"$15,000 to $29,999",No,n/a,No,No,No,n/a,No,n/a,No,n/a,Male,65 years or older,White,Food Bank,Agree,Agree,,
12/02/2020 15:30,Yes,98672,"Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,no,Yes,2,"$15,000 to $29,999",,"Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation",No,n/a,Female,65 years or older,White,Food Bank,Neutral,Neutral,,
12/02/2020 15:34,Yes,98672,"Faith group or church, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",yes,Yes,2,"Less than $15,000","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline",No,n/a,Female,18-64 years old,White,Food Bank,Neutral,Neutral,,
10/06/2020 14:55,Yes,98620,Faith group or church,I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,3,"Less than $15,000",No,n/a,No,No,No,n/a,"Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation",No,n/a,Female,18-64 years old,White,Food Bank,Agree,Agree,,
10/06/2020 15:43,Yes,98620,"Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,no,Yes,3,"Less than $15,000",No,n/a,"Yes, many times",Sometimes,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.)",No,Limited public transportation,"Yes, somewhat",Cost of care is not affordable,Female,18-64 years old,White,Food Bank,Strongly Agree,Strongly Agree,,
10/07/2020 09:44,Yes,98605,"Faith group or church, Community or civic volunteer group, Close friends, food bank","Other living arrangement (hotel, staying with friends, etc.)","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",yes,No,3,"Less than $15,000","Yes, a BIG problem!",,No,No,No,n/a,"Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation",No,n/a,Female,18-64 years old,White,Food Bank,Agree,Agree,,
10/07/2020 09:51,Yes,98635,"Faith group or church, Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,no,No,3,"$15,000 to $29,999",No,n/a,No,No,"Yes, somewhat",not enough available,No,n/a,No,n/a,Female,,White,Food Bank,,,,
10/13/2020 15:24:45,Yes,98628,Extended family,I have housing and I am NOT worried about losing it,No,n/a,no,Yes,3,"Less than $15,000","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,"Yes, many times","Yes, many times",No,n/a,No,n/a,No,,Male,18-64 years old,White,Food Bank,Strongly Agree,Strongly Agree,,
12/01/2020 16:19,Yes,98610,"Faith group or church, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Sometimes,3,"$15,000 to $29,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)","Yes, many times",Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of gasoline, Limited public transportation","Yes, somewhat","Cost of care is not affordable, Not enough mental health treatment options",Male,18-64 years old,White,Food Bank,Agree,Neutral,,
12/01/2020 16:31,Yes,98648,Extended family,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Sometimes,3,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food",No,n/a,No,n/a,Male,18-64 years old,White,Food Bank,Agree,Agree,,
10/08/2020 13:54,,98610,"Sports team or club, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,Yes,4,"$30,000 to $44,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.)","Yes, somewhat",Limited public transportation,"Yes, somewhat",Not enough mental health treatment options,Female,18-64 years old,White,Food Bank,Agree,Agree,,
10/01/2020 11:31,Yes,98672,"Faith group or church, Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,yes,Yes,4,"Less than $15,000",No,n/a,Sometimes,Sometimes,No,n/a,No,n/a,No,n/a,Female,18-64 years old,White,Food Bank,,Strongly Agree,,
10/06/2020 12:09,Yes,98620,None,I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities",no,No,4,"Less than $15,000","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times","Yes, many times","Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,White,Food Bank,Agree,Agree,,
10/06/2020 15:05,Yes,98620,Close friends,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Sometimes,4,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times","Yes, many times",,"Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline","Yes, a BIG problem!","Unsure where to go or what services are available, Language barrier (medical info hard to understand), Lack of transportation",Female,18-64 years old,White,Food Bank,n/a - I have not been involved with WAGAP,Strongly Agree,,
10/07/2020 10:48,Yes,98648,"Faith group or church, Close friends, None, gleaners",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,4,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,,"Yes, somewhat",lack of education on food preparation and shopping,,,"Yes, somewhat",Cost of care is not affordable,Female,65 years or older,White,Food Bank,Neutral,Strongly Agree,,
10/07/2020 10:54,Yes,98672,"Sports team or club, Close friends",,"Yes, somewhat","Cost of rent or house payment, Cost of utilities",no,Sometimes,4,"$15,000 to $29,999",,,No,Sometimes,"Yes, somewhat",,No,n/a,No,n/a,Male,18-64 years old,White,Food Bank,Neutral,Agree,,
10/08/2020 10:27,Yes,98672,"Faith group or church, Community or civic volunteer group, Hobby groups (books clubs, art club, etc.), Close friends",I have housing and I am NOT worried about losing it,No,n/a,no,Yes,4,"$15,000 to $29,999",No,n/a,No,No,No,n/a,No,n/a,No,n/a,Female,18-64 years old,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/14/2020 17:57:44,Yes,98635,Close friends,"Other living arrangement (hotel, staying with friends, etc.)","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,4,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find","Yes, many times","Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food",No,,"Yes, a BIG problem!","Lack of adequate insurance, Cost of care is not affordable",Female,18-64 years old,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
11/06/2020 08:42,Yes,98635,"Extended family, Close friends",I have housing and I am NOT worried about losing it,No,,yes,Yes,4,"$30,000 to $44,999","Yes, somewhat",Good paying jobs with benefits are hard to find,No,No,No,n/a,"Yes, somewhat",rural ,No,n/a,Female,18-64 years old,White,Food Bank,Neutral,Neutral,ns,
10/07/2020 09:17,Yes,98672,"Faith group or church, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy",no,Yes,5,"Less than $15,000","Yes, somewhat","People lack skills or education needed, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Unsure where to go or what services are available, Cost of care is not affordable, Not enough mental health treatment options",Female,18-64 years old,White,Food Bank,,,our community needs places for children to play,
10/01/2020 11:02,Yes,98620,"Faith group or church, Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,yes,No,6,"$15,000 to $29,999",No,n/a,No,No,No,n/a,No,n/a,No,n/a,Female,18-64 years old,White,Food Bank,Strongly Agree,Strongly Agree,,
10/02/2020 10:12,Yes,98605,Faith group or church,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!",Cost of rent or house payment,no,Yes,6,"$65,000 to $99,999","Yes, somewhat",Wages are too low to cover monthly expenses,"Yes, many times",Sometimes,"Yes, a BIG problem!",Not enough income to purchase food,"Yes, somewhat",Limited public transportation,"Yes, somewhat",,Female,18-64 years old,White,Food Bank,Agree,Strongly Agree,,
10/05/2020 07:37,Yes,98610,"Faith group or church, Hobby groups (books clubs, art club, etc.), Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,6,"$30,000 to $44,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,No,n/a,No,n/a,No,n/a,Female,18-64 years old,White,Food Bank,Agree,n/a - I have not been involved with WAGAP,,
10/05/2020 15:22,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,Sometimes,6,"$15,000 to $29,999","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,"Yes, many times","Yes, many times","Yes, a BIG problem!",Not enough income to purchase food,"Yes, a BIG problem!",Limited public transportation,"Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Female,18-64 years old,White,Food Bank,Agree,Neutral,,
